Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits
08/28/2026,SPSK,Cash&Other,Cash&Other,Cash & Other,13688263,1.0,13688262.62,2.07%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BT6MTT4,BT6MTT4,KSA Ijarah Sukuk Ltd 4.875% 09/09/2035,11875000,97.533483,11582101.11,1.75%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BNC3KG3,BNC3KG3,KSA Sukuk Ltd 4.274% 05/22/2029,11135000,98.863322,11008430.9,1.66%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BNDT833,BNDT833,KSA Sukuk Ltd 4.511% 05/22/2033,11120000,96.948712,10780696.77,1.63%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BVSYBV8,BVSYBV8,Global Sukuk Ventures 4.25% 11/10/2035,10990000,96.04364,10555196.04,1.59%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BNKVR46,BNKVR46,SA Global Sukuk Ltd 2.694% 06/17/2031,10975000,89.834012,9859282.82,1.49%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BM9WJ69,BM9WJ69,KSA Sukuk Ltd 5.268% 10/25/2028,9275000,101.367348,9401821.53,1.42%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BKPTPV7,BKPTPV7,KSA Sukuk Ltd 2.969% 10/29/2029,9180000,94.469584,8672307.81,1.31%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BMWPXT6,BMWPXT6,Suci Second Investment Co 6% 10/25/2028,8205000,102.205137,8385931.49,1.27%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BN6KFN2,BN6KFN2,KSA Sukuk Ltd 5.25% 06/04/2034,8260000,100.625784,8311689.76,1.26%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BT7N0N7,BT7N0N7,KSA Ijarah Sukuk Ltd 4.25% 09/09/2030,8325000,97.738468,8136727.46,1.23%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BS298C8,BS298C8,Isdb Trust Services NO 2 SARL 4.906% 10/03/2028,7835000,101.071085,7918919.51,1.20%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BQH7NQ2,BQH7NQ2,Isdb Trust Services NO 2 SARL 4.754% 05/15/2029,7470000,100.818932,7531174.22,1.14%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BSNZ0Q3,BSNZ0Q3,Suci Second Investment Co 5.171% 03/05/2031,7470000,100.115529,7478630.02,1.13%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BMF0F03,BMF0F03,Isdb Trust Services NO 2 SARL 4.598% 03/14/2028,7360000,100.378626,7387866.87,1.12%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BWQLPR2,BWQLPR2,Suci Second Investment Co 5.133% 01/28/2036,7455000,98.334866,7330864.26,1.11%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BFX3CW6,BFX3CW6,KSA Sukuk Ltd 4.303% 01/19/2029,7275000,99.033052,7204654.53,1.09%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BVMSYK6,BVMSYK6,SRC Sukuk Ltd 4.375% 04/02/2029,6710000,98.342467,6598779.54,1.00%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BMQ80H8,BMQ80H8,KSA Sukuk Ltd 2.25% 05/17/2031,7475000,88.736709,6633069.0,1.00%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BMFZL88,BMFZL88,Oman Sovereign Sukuk Co 4.875% 06/15/2030,6565000,99.67398,6543596.79,0.99%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BTWSBF6,BTWSBF6,Isdb Trust Services NO 2 SARL 4.211% 03/18/2030,6515000,99.235124,6465168.33,0.98%,662211157.5,36975000,1479.0
08/28/2026,SPSK,71567RAK2,71567RAK2,Perusahaan Penerbit SBSN Indonesia III 4.4% 03/01/2028,6440000,100.243,6455649.2,0.97%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BVK2MP1,BVK2MP1,Isdb Trust Services NO 2 SARL 4.246% 06/25/2030,6435000,99.160683,6380989.95,0.96%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BMW82D2,BMW82D2,Suci Second Investment Co 4.375% 09/10/2027,5685000,99.914131,5680118.35,0.86%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BMZQ318,BMZQ318,TMS Issuer Sarl 5.78% 08/23/2032,5520000,101.874696,5623483.22,0.85%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BN4L5K4,BN4L5K4,KSA Sukuk Ltd 5.25% 06/04/2030,5575000,101.282502,5646499.49,0.85%,662211157.5,36975000,1479.0
